freeform lens as an example,,,,,,,,,,,,,,,,,,,,,,,,,
表面类型,半径,厚度,材料,圆锥系数,归一化半径,X^0Y^2,X^0Y^4,X^0Y^6,X^0Y^8,X^0Y^10,X^2Y^0,X^2Y^2,X^2Y^4,X^2Y^6,X^2Y^8,X^4Y^0,X^4Y^2,X^4Y^4,X^4Y^6,X^6Y^0,X^6Y^2,X^6Y^4,X^8Y^0,X^8Y^2,X^10Y^0
物面,infinity,infinity,air,,,,,,,,,,,,,,,,,,,,,,
球面,6.594E+01,8.736E+00,N-LAF2,,,,,,,,,,,,,,,,,,,,,,
球面,3.307E+03,1.000E-01,air,,,,,,,,,,,,,,,,,,,,,,
球面,8.137E+02,1.159E+01,BASF55,,,,,,,,,,,,,,,,,,,,,,
球面,2.467E+01,1.114E+00,air,,,,,,,,,,,,,,,,,,,,,,
球面,2.279E+01,1.591E+01,N-LAF2,,,,,,,,,,,,,,,,,,,,,,
球面,3.501E+01,2.606E+00,air,,,,,,,,,,,,,,,,,,,,,,
XY多项式,-4.229E+01,4.339E+00,K4,0.0,10,-4.48E-02,1.55E-01,4.91E-02,6.80E-03,-1.58E-03,-4.28E-02,3.14E-01,1.36E-01,4.98E-02,-2.37E-02,1.56E-01,1.33E-01,6.85E-02,-4.21E-02,4.72E-02,5.56E-02,-4.25E-02,8.72E-03,-2.77E-02,-2.47E-03
XY多项式,-4.871E+01,1.000E-01,air,0.0,10,-3.632E-02,2.30E-01,6.63E-02,7.59E-03,5.80E-03,-3.46E-02,4.64E-01,1.89E-01,5.04E-02,1.57E-02,2.31E-01,1.86E-01,7.41E-02,3.32E-02,6.44E-02,5.74E-02,3.06E-02,9.89E-03,1.08E-02,4.76E-03
光阑,infinity,1.000E-01,air,,,,,,,,,,,,,,,,,,,,,,
球面,3.253E+01,1.143E+01,H-LAFL5,,,,,,,,,,,,,,,,,,,,,,
球面,-1.979E+01,9.058E+00,LAF11A,,,,,,,,,,,,,,,,,,,,,,
球面,3.858E+01,2.407E+00,air,,,,,,,,,,,,,,,,,,,,,,
球面,-4.816E+01,9.865E+00,H-LAF3B,,,,,,,,,,,,,,,,,,,,,,
球面,-3.342E+01,5.538E+01,air,,,,,,,,,,,,,,,,,,,,,,
像面,infinity,0,air,,,,,,,,,,,,,,,,,,,,,,
